Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
The Infiltrator,R,70,71,7,66,15436808,2016,0,0,0,0,0,1,0,0,0,0,0
"Hail, Caesar!",PG13,85,44,6.3,72,30080225,2016,0,0,0,0,1,0,0,0,0,0,0
The Young Messiah,PG,46,65,5.5,33,6469813,2016,0,0,0,0,0,1,0,0,0,0,0
The 5th Wave,PG13,15,38,5.2,33,34912982,2016,1,0,0,1,0,0,0,0,0,1,0
Jason Bourne,PG13,56,56,6.6,58,162192920,2016,1,0,0,0,0,1,0,0,0,0,0
Allegiant,PG13,13,42,5.7,33,66184051,2016,1,0,0,1,0,0,0,1,0,0,0
Pride and Prejudice and Zombies,PG13,43,44,5.8,45,10907291,2016,0,0,0,0,1,0,0,1,1,0,0
13 Hours: The Secret Soldiers of Benghazi,R,50,82,7.3,48,52853219,2016,1,0,0,0,0,1,0,0,0,0,0
Race,PG13,61,77,7.1,56,19115191,2016,0,0,0,0,0,1,0,0,0,0,0
God's Not Dead 2,PG,9,63,4.3,22,20773069,2016,0,0,0,0,0,1,0,0,0,0,0
The Purge: Election Year,R,54,48,6,55,79042440,2016,1,0,0,0,0,0,0,0,1,1,0
Warcraft,PG13,28,77,6.9,32,47225655,2016,1,0,0,1,0,0,0,0,0,0,0
